source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Wow! -Senator Mark Warner got caught having extensive contact with a lobbyist for a Russian oligarch. Warner did not want a “paper trail” on a “private” meeting (in London) he requested with Steele of fraudulent Dossier fame. All tied into Crooked Hillary.,02-09-2018 03:22:53,37442,117150,false,961802557646569475
Twitter for iPhone,Time to end the visa lottery. Congress must secure the immigration system and protect Americans. https://t.co/yukxm48x9X,02-08-2018 23:26:22,22627,89790,false,961743032952459264
Twitter for iPad,As long as we open our eyes to God’s grace - and open our hearts to God’s love - then America will forever be the land of the free the home of the brave and a light unto all nations. #NationalPrayerBreakfast https://t.co/1cwxs3l0uK,02-08-2018 20:10:58,28612,100587,false,961693860916289536
Twitter for iPhone,I will be meeting with Henry Kissinger at 1:45pm. Will be discussing North Korea China and the Middle East.,02-08-2018 18:44:00,13035,74232,false,961671974153080834
Twitter for iPad,Our founders invoked our Creator four times in the Declaration of Independence. Our currency declares “IN GOD WE TRUST.” And we place our hands on our hearts as we recite the Pledge of Allegiance and proclaim that we are “One Nation Under God.” #NationalPrayerBreakfast https://t.co/zukP40Ezpo,02-08-2018 17:13:13,27500,98744,false,961649129834283008
Twitter for iPhone,Will be heading over shortly to make remarks at The National Prayer Breakfast in Washington. Great religious and political leaders and many friends including T.V. producer Mark Burnett of our wonderful 14 season Apprentice triumph will be there. Looking forward to seeing all!,02-08-2018 11:08:39,17544,102032,false,961557382387167238
Twitter for iPhone,The Budget Agreement today is so important for our great Military. It ends the dangerous sequester and gives Secretary Mattis what he needs to keep America Great. Republicans and Democrats must support our troops and support this Bill!,02-07-2018 22:36:15,22853,105478,false,961368036782628864
Media Studio,Congratulations to the Republic of Korea on what will be a MAGNIFICENT Winter Olympics! What the South Korean people have built is truly an inspiration! https://t.co/giN2B1h6Ph,02-07-2018 22:13:16,12919,66759,false,961362249880252416
Media Studio,Best wishes to the Republic of Korea on hosting the @Olympics! What a wonderful opportunity to show everyone that you are a truly GREAT NATION! https://t.co/aboM2Up48y,02-07-2018 18:01:05,12406,62229,false,961298788219420672
Twitter for iPhone,NEW FBI TEXTS ARE BOMBSHELLS!,02-07-2018 16:10:00,39665,135039,false,961270833569202176
Twitter for iPhone,In the “old days” when good news was reported the Stock Market would go up. Today when good news is reported the Stock Market goes down. Big mistake and we have so much good (great) news about the economy!,02-07-2018 14:59:49,21639,109138,false,961253168968622086
Twitter for iPhone,Congratulations @ElonMusk and @SpaceX on the successful #FalconHeavy launch. This achievement along with @NASA’s commercial and international partners continues to show American ingenuity at its best! https://t.co/eZfLSpyJPK,02-07-2018 03:05:45,31246,163290,false,961073467784421382
Twitter for iPhone,HAPPY BIRTHDAY to our 40th President of the United States of America Ronald Reagan! https://t.co/JtEglBhm4c,02-07-2018 00:48:01,32645,177415,false,961038807658352640
Media Studio,Today we heard the experiences of law enforcement professionals and community leaders working to combat the threat of MS-13 and the reforms we need from Congress to defeat it. Watch here: https://t.co/VPMTnko7Ik https://t.co/4OaXXuj9Va,02-06-2018 22:45:50,18203,73821,false,961008057756127232
Twitter for iPhone,We need a 21st century MERIT-BASED immigration system.  Chain migration and the visa lottery are outdated programs that hurt our economic and national security. https://t.co/rP9Gtr2E5N,02-06-2018 16:05:42,25468,90472,false,960907362109452288
Twitter for iPhone,Polling shows nearly 7 in 10 Americans support an immigration reform package that includes DACA fully secures the border ends chain migration &amp; cancels the visa lottery. If D’s oppose this deal they aren’t serious about DACA-they just want open borders. https://t.co/XDMcDOr9vM,02-06-2018 16:00:43,23403,87470,false,960906105982464000
Twitter for iPhone,My prayers and best wishes are with the family of Edwin Jackson a wonderful young man whose life was so senselessly taken. @Colts,02-06-2018 13:37:00,20900,102772,false,960869939694505984
Twitter for iPhone,So disgraceful that a person illegally in our country killed @Colts linebacker Edwin Jackson. This is just one of many such preventable tragedies. We must get the Dems to get tough on the Border and with illegal immigration FAST!,02-06-2018 13:32:57,36082,140769,false,960868920428253184
Twitter for iPhone,Thanks to the historic TAX CUTS that I signed into law your paychecks are going way UP your taxes are going way DOWN and America is once again OPEN FOR BUSINESS! https://t.co/GISFbDDGXX,02-05-2018 20:42:01,22736,104182,false,960614513224667136
Twitter for iPhone,Representative Devin Nunes a man of tremendous courage and grit may someday be recognized as a Great American Hero for what he has exposed and what he has had to endure!,02-05-2018 15:08:51,35780,132387,false,960530665702912000
Twitter for iPhone,Any deal on DACA that does not include STRONG border security and the desperately needed WALL is a total waste of time. March 5th is rapidly approaching and the Dems seem not to care about DACA. Make a deal!,02-05-2018 14:36:40,29974,121875,false,960522569492426753
Twitter for iPhone,Little Adam Schiff who is desperate to run for higher office is one of the biggest liars and leakers in Washington right up there with Comey Warner Brennan and Clapper! Adam leaves closed committee hearings to illegally leak confidential information. Must be stopped!,02-05-2018 12:39:10,43082,140957,false,960492998734868480
Twitter for iPhone,Thank you to @foxandfriends for exposing the truth. Perhaps that’s why your ratings are soooo much better than your untruthful competition!,02-05-2018 12:17:57,22799,106404,false,960487657691385856
Twitter for iPhone,The Democrats are pushing for Universal HealthCare while thousands of people are marching in the UK because their U system is going broke and not working. Dems want to greatly raise taxes for really bad and non-personal medical care. No thanks!,02-05-2018 12:11:56,30640,119557,false,960486144818450432
Twitter for iPhone,Congratulations to the Philadelphia Eagles on a great Super Bowl victory!,02-05-2018 03:54:42,36498,211229,false,960361010904338432
Twitter for iPhone,My thoughts and prayers are with all of the victims involved in this mornings train collision in South Carolina. Thank you to our incredible First Responders for the work they’ve done!,02-04-2018 16:58:14,23195,140962,false,960195808141414400
Twitter for iPhone,...a tool of anti-Trump political actors. This is unacceptable in a democracy and ought to alarm anyone who wants the FBI to be a nonpartisan enforcer of the law....The FBI wasn’t straight with Congress as it hid most of these facts from investigators.” Wall Street Journal,02-04-2018 00:53:18,35955,130120,false,959952974826098688
Twitter for iPhone,“The four page memo released Friday reports the disturbing fact about how the FBI and FISA appear to have been used to influence the 2016 election and its aftermath....The FBI failed to inform the FISA court that the Clinton campaign had funded the dossier....the FBI became....,02-04-2018 00:40:24,37072,130000,false,959949725028974592
Twitter for iPhone,Great jobs numbers and finally after many years rising wages- and nobody even talks about them. Only Russia Russia Russia despite the fact that after a year of looking there is No Collusion!,02-04-2018 00:26:23,30262,135299,false,959946200488271872
Twitter for iPhone,This memo totally vindicates “Trump” in probe. But the Russian Witch Hunt goes on and on. Their was no Collusion and there was no Obstruction (the word now used because after one year of looking endlessly and finding NOTHING collusion is dead). This is an American disgrace!,02-03-2018 14:40:27,39375,141362,false,959798743842349056
Twitter for iPhone,Rasmussen just announced that my approval rating jumped to 49% a far better number than I had in winning the Election and higher than certain “sacred cows.” Other Trump polls are way up also. So why does the media refuse to write this? Oh well someday!,02-03-2018 14:40:23,35033,155959,false,959798726381457409
Twitter for iPhone,RT @EricTrump: #MakeAmericaGreatAgain 🇺🇸🇺🇸🇺🇸 https://t.co/CJts3udtNO,02-03-2018 13:44:19,12695,0,true,959784619712401410
Twitter for iPhone,RT @EricTrump: 🇺🇸🇺🇸🇺🇸 https://t.co/iszxYp036c,02-03-2018 13:39:49,12276,0,true,959783486289793024
Twitter for iPad,Today it was my honor to join the great men and women of @DHSgov @CustomsBorder @ICEgov and @USCIS at the U.S. Customs and Border Protection National Targeting Center in Sterling Virginia. Fact sheet: https://t.co/Q027Wgdzdo https://t.co/NecuA0y1Sk,02-02-2018 22:26:22,14609,70395,false,959553606134345728
Twitter for iPad,“Trump the orator outlines the greatness of America to Democrats’ disgust” https://t.co/XpirrtTY6V,02-02-2018 18:07:08,17664,77139,false,959488369293254658
Twitter for iPad,With 3.5 million Americans receiving bonuses or other benefits from their employers as a result of TAX CUTS 2018 is off to great start!✅Unemployment rate at 4.1%.✅Average earnings up 2.9% in the last year.✅200000 new American jobs.✅#MAGA🇺🇸 https://t.co/upqSvBhRqJ,02-02-2018 18:05:49,27612,107571,false,959488037766955009
Twitter for iPhone,“You had Hillary Clinton and the Democratic Party try to hide the fact that they gave money to GPS Fusion to create a Dossier which was used by their allies in the Obama Administration to convince a Court misleadingly by all accounts to spy on the Trump Team.” Tom Fitton JW,02-02-2018 11:49:14,52215,161415,false,959393270144086016
Twitter for iPhone,The top Leadership and Investigators of the FBI and the Justice Department have politicized the sacred investigative process in favor of Democrats and against Republicans - something which would have been unthinkable just a short time ago. Rank &amp; File are great people!,02-02-2018 11:33:58,40532,139017,false,959389424806191104
Twitter for iPhone,The Democrats just aren’t calling about DACA. Nancy Pelosi and Chuck Schumer have to get moving fast or they’ll disappoint you again. We have a great chance to make a deal or blame the Dems! March 5th is coming up fast.,02-02-2018 03:32:48,28881,123915,false,959268334935203840
Twitter for iPhone,Thank you for all of the nice compliments and reviews on the State of the Union speech. 45.6 million people watched the highest number in history. @FoxNews beat every other Network for the first time ever with 11.7 million people tuning in. Delivered from the heart!,02-01-2018 12:02:49,37435,184551,false,959034299222843394
Twitter for iPhone,March 5th is rapidly approaching and the Democrats are doing nothing about DACA. They Resist Blame Complain and Obstruct - and do nothing. Start pushing Nancy Pelosi and the Dems to work out a DACA fix NOW!,02-01-2018 11:51:43,29949,123140,false,959031505145212928
Twitter for iPhone,Heading to beautiful West Virginia to be with great members of the Republican Party. Will be planning Infrastructure and discussing Immigration and DACA not easy when we have no support from the Democrats. NOT ONE DEM VOTED FOR OUR TAX CUT BILL! Need more Republicans in ‘18.,02-01-2018 11:43:17,28529,137808,false,959029384052166657